#{"t_start": 1749911480.3438144, "env_id": "LunarLander-v3"}
r,l,t
32.11373,228,748.374393
269.144911,276,749.18623
256.638825,247,749.867933
269.844576,273,750.634713
263.872364,297,751.442534
259.125213,249,752.115422
255.640681,281,753.12163
253.463445,301,760.397855
255.611312,289,761.088712
252.833102,253,761.72587
268.299209,290,762.432039
260.914718,289,766.781506
124.521436,1000,776.394054
269.911974,265,776.970109
254.95171,289,777.66007
265.33522,256,778.654701
271.914288,261,779.80827
134.299906,1000,788.25136
296.696333,341,789.343384
282.622749,276,789.9434
277.093874,350,790.671277
265.811215,262,791.243049
252.091475,237,791.851126
221.880468,318,792.617657
162.296216,1000,800.817903
140.382942,1000,804.018455
